Date, High, Low, Close, MA20, BOLU, BOLD
2/16/2022 8:35:00 PM,2.0447,2.0348,2.0447,2.04982,2.0569926380671344,2.0426473619328656
2/16/2022 8:34:00 PM,2.0478,2.0396,2.0409,2.0503500000000003,2.0574961436048445,2.0432038563951562
2/16/2022 8:33:00 PM,2.054,2.0456,2.0469,2.051225,2.0577584362684336,2.0446915637315666
2/16/2022 8:32:00 PM,2.0595,2.0548,2.0548,2.051785,2.0586681678753322,2.044901832124668
2/16/2022 8:31:00 PM,2.056,2.0475,2.056,2.052015,2.0595945500491366,2.0444354499508632
2/16/2022 8:30:00 PM,2.0516,2.0431,2.0481,2.0521100000000003,2.0599432355350373,2.0442767644649633
2/16/2022 8:29:00 PM,2.0517,2.0513,2.0516,2.0526400000000002,2.0607599948146214,2.044520005185379
2/16/2022 8:28:00 PM,2.0526,2.0519,2.0525,2.0528649999999997,2.061112047318506,2.0446179526814934
2/16/2022 8:27:00 PM,2.0525,2.0494,2.0524,2.052725,2.06109232366191,2.04435767633809
2/16/2022 8:26:00 PM,2.0516,2.0496,2.0501,2.05259,2.0610658232017527,2.044114176798247
2/16/2022 8:25:00 PM,2.051,2.0498,2.051,2.052485,2.061140822500369,2.0438291774996307
2/16/2022 8:24:00 PM,2.054,2.0514,2.0514,2.052575,2.0612031973478637,2.0439468026521364
2/16/2022 8:23:00 PM,2.0544,2.0524,2.0538,2.0528950000000004,2.0618096774301833,2.0439803225698174
2/16/2022 8:22:00 PM,2.052,2.0489,2.052,2.053135,2.0624036852528174,2.043866314747183
2/16/2022 8:21:00 PM,2.0492,2.0475,2.0481,2.05363,2.0636688927886024,2.0435911072113977
2/16/2022 8:20:00 PM,2.05,2.0462,2.05,2.0543500000000003,2.0647769892712695,2.043923010728731
2/16/2022 8:19:00 PM,2.0506,2.0459,2.0459,2.05505,2.0661080287574234,2.0439919712425767
2/16/2022 8:18:00 PM,2.0489,2.046,2.0489,2.0559450000000004,2.0667801231989698,2.045109876801031
2/16/2022 8:17:00 PM,2.0513,2.0481,2.0481,2.0565750000000005,2.0671474318767955,2.0460025681232055
2/16/2022 8:16:00 PM,2.0541,2.0492,2.0492,2.0570900000000005,2.066900177314778,2.047279822685223
2/16/2022 8:15:00 PM,2.0584,2.0553,2.0553,2.0575900000000003,2.066701450286085,2.0484785497139155
2/16/2022 8:14:00 PM,2.0585,2.0573,2.0584,2.0577750000000004,2.0668408120082224,2.0487091879917783
2/16/2022 8:13:00 PM,2.0586,2.0573,2.0581,2.057985,2.0673028436629037,2.048667156337096
2/16/2022 8:12:00 PM,2.0594,2.0572,2.0594,2.058285,2.0679964744937167,2.0485735255062836
2/16/2022 8:11:00 PM,2.0596,2.0579,2.0579,2.05844,2.0683238304954688,2.0485561695045313
2/16/2022 8:10:00 PM,2.0587,2.0561,2.0587,2.058795,2.069098290225636,2.048491709774364
2/16/2022 8:09:00 PM,2.0561,2.0525,2.0561,2.0592099999999998,2.070146351744237,2.0482736482557624
2/16/2022 8:08:00 PM,2.0497,2.0485,2.0497,2.0596449999999997,2.070751276082515,2.0485387239174844
2/16/2022 8:07:00 PM,2.0518,2.0487,2.0497,2.06037,2.070601447909059,2.0501385520909405
2/16/2022 8:06:00 PM,2.0528,2.0474,2.048,2.06095,2.0698651556352092,2.052034844364791
2/16/2022 8:05:00 PM,2.0582,2.0528,2.0528,,,
2/16/2022 8:04:00 PM,2.0582,2.0564,2.0578,,,
2/16/2022 8:03:00 PM,2.06,2.0586,2.0586,,,
2/16/2022 8:02:00 PM,2.0623,2.0614,2.0619,,,
2/16/2022 8:01:00 PM,2.0625,2.0616,2.0625,,,
2/16/2022 8:00:00 PM,2.0647,2.064,2.064,,,
2/16/2022 7:59:00 PM,2.0638,2.0614,2.0638,,,
2/16/2022 7:58:00 PM,2.062,2.059,2.0615,,,
2/16/2022 7:57:00 PM,2.0595,2.0584,2.0584,,,
2/16/2022 7:56:00 PM,2.0592,2.0583,2.0592,,,
2/16/2022 7:55:00 PM,2.0619,2.059,2.059,,,
2/16/2022 7:54:00 PM,2.0643,2.0622,2.0626,,,
2/16/2022 7:53:00 PM,2.0645,2.0628,2.0641,,,
2/16/2022 7:52:00 PM,2.065,2.0625,2.0625,,,
2/16/2022 7:51:00 PM,2.066,2.065,2.065,,,
2/16/2022 7:50:00 PM,2.067,2.0644,2.067,,,
2/16/2022 7:49:00 PM,2.0648,2.0642,2.0648,,,
2/16/2022 7:48:00 PM,2.0647,2.0613,2.0642,,,
2/16/2022 7:47:00 PM,2.0613,2.0596,2.0613,,,
2/16/2022 7:46:00 PM,2.0595,2.0582,2.0583,,,